,Deputado,Partido,UF,Voto,Campo ideológico,Posição
416,Tito,AVANTE,BA,Não,Trabalhista,Centro esquerda
417,André Janones,AVANTE,MG,Não,Trabalhista,Centro esquerda
418,Greyce Elias,AVANTE,MG,Sim,Trabalhista,Centro esquerda
419,Luis Tibé,AVANTE,MG,Sim,Trabalhista,Centro esquerda
420,Sebastião Oliveira,AVANTE,PE,Sim,Trabalhista,Centro esquerda
421,Chiquinho Brazão,AVANTE,RJ,Sim,Trabalhista,Centro esquerda
422,Camilo Capiberibe,PSB,AP,Sim,Socialista,Esquerda
423,Lídice da Mata,PSB,BA,Sim,Socialista,Esquerda
424,Marcelo Nilo,PSB,BA,Não,Socialista,Esquerda
425,Odorico Monteiro,PSB,CE,Sim,Socialista,Esquerda
426,Felipe Rigoni,PSB,ES,Não,Socialista,Esquerda
427,Ted Conti,PSB,ES,Sim,Socialista,Esquerda
428,Elias Vaz,PSB,GO,Não,Socialista,Esquerda
429,Bira do Pindaré,PSB,MA,Não,Socialista,Esquerda
430,Emidinho Madeira,PSB,MG,Sim,Socialista,Esquerda
431,Júlio Delgado,PSB,MG,Não,Socialista,Esquerda
432,Vilson da Fetaemg,PSB,MG,Sim,Socialista,Esquerda
433,Cássio Andrade,PSB,PA,Sim,Socialista,Esquerda
434,Gervásio Maia,PSB,PB,Não,Socialista,Esquerda
435,Danilo Cabral,PSB,PE,Sim,Socialista,Esquerda
436,Felipe Carreras,PSB,PE,Sim,Socialista,Esquerda
437,Gonzaga PATRIOTA,PSB,PE,Sim,Socialista,Esquerda
438,Milton Coelho,PSB,PE,Sim,Socialista,Esquerda
439,Tadeu Alencar,PSB,PE,Não,Socialista,Esquerda
440,Aliel Machado,PSB,PR,INDENIFIDO,Socialista,Esquerda
441,Luciano Ducci,PSB,PR,Sim,Socialista,Esquerda
442,Alessandro Molon,PSB,RJ,Não,Socialista,Esquerda
443,Rafael Motta,PSB,RN,INDENIFIDO,Socialista,Esquerda
444,Mauro Nazif,PSB,RO,Não,Socialista,Esquerda
445,Heitor Schuch,PSB,RS,Sim,Socialista,Esquerda
446,Liziane Bayer,PSB,RS,Sim,Socialista,Esquerda
447,Rodrigo Coelho,PSB,SC,INDENIFIDO,Socialista,Esquerda
448,Jefferson Campos,PSB,SP,Sim,Socialista,Esquerda
449,Ricardo Silva,PSB,SP,Sim,Socialista,Esquerda
450,Rodrigo Agostinhi,PSB,SP,Não,Socialista,Esquerda
451,Rosana Valle,PSB,SP,Sim,Socialista,Esquerda
452,Célio Studart,PV,CE,Não,Ambientalista,Centro esquerda
453,Israel Batista,PV,DF,Sim,Ambientalista,Centro esquerda
454,Leandre,PV,PR,Sim,Ambientalista,Centro esquerda
455,Enrico Misasi,PV,SP,Sim,Ambientalista,Centro esquerda
456,Paula Belmonte,CIDADANIA,DF,Sim,Socialista,Esquerda
457,Da Vitória,CIDADANIA,ES,Sim,Socialista,Esquerda
458,Daniel Coelho,CIDADANIA,PE,Sim,Socialista,Esquerda
459,Rubens Bueno,CIDADANIA,PR,Sim,Socialista,Esquerda
460,Carmen Zanotto,CIDADANIA,SC,Sim,Socialista,Esquerda
461,Alex Manente,CIDADANIA,SP,Sim,Socialista,Esquerda
462,Arnaldo Jardim,CIDADANIA,SP,Sim,Socialista,Esquerda
463,Laurite,PSC,ES,Sim,Cristão,Direita
464,Glaustin da Fokus,PSC,GO,Sim,Cristão,Direita
465,Aluisio Mendes,PSC,MA,Sim,Cristão,Direita
466,Euclydes Petterson,PSC,MG,Sim,Cristão,Direita
467,Leonardo Gadelha,PSC,PB,INDENIFIDO,Cristão,Direita
468,André Ferreira,PSC,PE,Sim,Cristão,Direita
469,Paulo Martins,PSC,PR,Não,Cristão,Direita
470,Otoni de Paula,PSC,RJ,Não,Cristão,Direita
471,Ricardo da Karol,PSC,RJ,Sim,Cristão,Direita
472,Gilberto Nascimento,PSC,SP,Sim,Cristão,Direita
473,Osires Damaso,PSC,TO,Sim,Cristão,Direita
474,Áurea Carolina,PSOL,MG,Não,Socialista,Esquerda
475,Vivi Reis,PSOL,PA,Não,Socialista,Esquerda
476,David Miranda,PSOL,RJ,Não,Socialista,Esquerda
477,Glauber Braga,PSOL,RJ,Não,Socialista,Esquerda
478,Marcelo Freixo,PSOL,RJ,Sim,Socialista,Esquerda
479,Talíria Petrone,PSOL,RJ,Não,Socialista,Esquerda
480,Fernando Melchionna,PSOL,RS,Não,Socialista,Esquerda
481,Ivan Valente,PSOL,SP,Não,Socialista,Esquerda
482,Luiza Erundina,PSOL,SP,Não,Socialista,Esquerda
483,Sâmia Bomfim,PSOL,SP,Não,Socialista,Esquerda
484,Lucas Gonzalez,NOVO,MG,Não,Liberal,Direita
485,Tiago Mitraud,NOVO,MG,Não,Liberal,Direita
486,Paulo Ganime,NOVO,RJ,Não,Liberal,Direita
487,Marcel Vant Hattem,NOVO,RS,Não,Liberal,Direita
488,Gilson Marques,NOVO,SC,Não,Liberal,Direita
489,Adriana Ventura,NOVO,SP,Não,Liberal,Direita
490,Alexis Fonteyne,NOVO,SP,Não,Liberal,Direita
491,Vinicius Poit,NOVO,SP,Não,Liberal,Direita
